0,0.999999992,1,1,0.999999984,0.99999029,1,1,0.999998278,0.999623564,0.999999516,0.99998146
0.999990477,0,0.930067945,0.999950797,0.998069989,1,0.999956239,0.999999773,0.999571688,0.999948303,0.999738569,0.999414331
1,0.980327666,0,1,0.947401465,1,1,0.999991598,0.999437618,1,1,0.99999825
0.999885009,0.999012994,1,0,0.968214573,1,1,1,0.999597532,0.962321285,0.966432213,0.94579133
0.999947667,0.999447344,0.903345211,0.998282222,0,0.999998275,0.999411401,0.998227301,0.937511861,0.999994824,0.999995974,0.999762202
0.997312003,0.999998553,1,1,0.999998553,0,1,0.999817616,0.886309454,0.999675761,1,0.97068245
0.994282344,0.99907697,0.999794882,1,0.831700938,0.999615404,0,0.975514076,0.940438952,0.9982565,0.800292293,0.304445926
1,0.999977785,0.999861772,1,0.992594951,0.999997532,0.999039812,0,0.803091526,0.99961576,0.995874565,0.925463248
0.999753484,0.999956423,0.999329366,1,0.95887749,0.98052425,0.999110466,0.951492661,0,0.999548012,0.995745135,0.906914118
0.859514759,1,1,0.999682116,1,0.998863924,1,0.999996119,0.999639809,0,0.988288756,0.978038459
0.999994015,0.999967898,0.999999637,0.999758603,0.999971888,1,0.999892088,0.999546587,0.99878975,0.9799031,0,0.979812962
0.999525959,0.999920496,0.999977167,0.999553626,0.999880898,0.998755089,0.999362528,0.9985066,0.977906838,0.973810891,0.957159484,0
